Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,EnglishTitle,OMDb_Title,OMDb_Year,OMDb_Rated,OMDb_Released,OMDb_Runtime,OMDb_Genre,OMDb_Director,OMDb_Writer,OMDb_Actors,OMDb_Plot,OMDb_Language,OMDb_Country,OMDb_Awards,OMDb_Poster,OMDb_Ratings,OMDb_Metascore,OMDb_imdbRating,OMDb_imdbVotes,OMDb_imdbID,OMDb_Type,OMDb_DVD,OMDb_BoxOffice,OMDb_Production,OMDb_Website,OMDb_Response,Error
Detective Conan the Movie: Quarter of Silence // 劇場版 名探偵コナン 沈黙の15分,No,,"2,000,000",1:49,1100000,Detective Conan the Movie: Quarter of Silence,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!
Detective Conan the Movie: Sunflowers of Inferno // 劇場版 名探偵コナン 業火の向日葵,No,,"2,000,000",1:52,1100000,Detective Conan the Movie: Sunflowers of Inferno,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!
Layer Cake,No,,"2,000,000",1:45,1100000,Layer Cake,Layer Cake,2004.0,R,03 Jun 2005,105 min,"Crime, Drama, Thriller",Matthew Vaughn,J.J. Connolly,"Daniel Craig, Sienna Miller, Michael Gambon",A successful cocaine dealer gets two tough assignments from his boss on the eve of his planned early retirement.,"English, Romanian","United Kingdom, United States",Nominated for 1 BAFTA Award2 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BMTI5MTE1OTAzOV5BMl5BanBnXkFtZTcwNDc2OTgyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73.0,7.2,"204,406",tt0375912,movie,,"$2,339,957",,,True,
Leave No Trace (2018),No,,"2,000,000",1:49,1100000,Leave No Trace,Leave No Trace,2018.0,PG,29 Jun 2018,109 min,"Adventure, Drama",Debra Granik,"Debra Granik, Anne Rosellini, Peter Rock","Thomasin McKenzie, Ben Foster, Jeffery Rifflard","A father and his seventeen-year-old daughter are living an ideal existence in a vast urban park in Portland, Oregon when a small mistake derails their lives forever.",English,"United States, Canada",18 wins & 92 nominations total,https://m.media-amazon.com/images/M/MV5BMjE3OTI1MTU0OV5BMl5BanBnXkFtZTgwNTg1MzkzNTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",88.0,7.1,"69,032",tt3892172,movie,,"$6,046,104",,,True,
Mr. Blake at Your Service! // Complètement cramé,No,,"2,000,000",1:50,1100000,Mr. Blake at Your Service!,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!
No Strings Attached (2011),No,,"2,000,000",1:49,1100000,No Strings Attached,No Strings Attached,2011.0,R,21 Jan 2011,108 min,"Comedy, Romance",Ivan Reitman,"Elizabeth Meriwether, Michael Samonek","Natalie Portman, Ashton Kutcher, Kevin Kline","A guy and girl try to keep their relationship strictly physical, but it's not long before they learn that they want something more.","English, Ukrainian","United States, United Kingdom",2 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BMTg2MDQ1NTEzNl5BMl5BanBnXkFtZTcwOTgxNTMyNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50.0,6.2,"251,737",tt1411238,movie,,"$70,662,220",,,True,
Past Lives // 패스트 라이브즈,No,,"2,000,000",1:46,1100000,Past Lives,Past Lives,2023.0,PG-13,23 Jun 2023,105 min,"Drama, Romance",Celine Song,Celine Song,"Greta Lee, Teo Yoo, John Magaro","Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny.","Korean, English, Mandarin, French","United States, South Korea",Nominated for 2 Oscars. 83 wins & 239 nominations total,https://m.media-amazon.com/images/M/MV5BYjQyMTNhNjUtN2VmYy00NWRhLTkwOTctMGVmNTBmNDIxYjZhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '94/100'}]",94.0,7.8,"159,850",tt13238346,movie,,"$11,331,983",,,True,
Tank,No,,"2,000,000",1:53,1100000,Tank,Tank,1984.0,PG,16 Mar 1984,113 min,"Action, Comedy, Drama",Marvin J. Chomsky,Dan Gordon,"James Garner, Shirley Jones, C. Thomas Howell","Sergeant Major Zack arrives at a new army base with his wife, son and Sherman tank. One night at a bar he ""stops"" a pimp/deputy from beating a girl. The corrupt sheriff uses Zack's son for revenge and Zack uses his tank.",English,United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BY2JmMzUyZGQtNGFiMy00YzlhLWIyNTAtYjM4ZDNjOWEwMWZjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39.0,5.8,"5,180",tt0088224,movie,,"$11,302,884",,,True,
The Beekeeper (2023),No,,"2,000,000",1:45,1100000,The Beekeeper,The Beekeeper,2024.0,R,12 Jan 2024,105 min,"Action, Crime, Thriller",David Ayer,Kurt Wimmer,"Jason Statham, Emmy Raver-Lampman, Bobby Naderi",A former operative of a powerful organization embarks on a brutal campaign for vengeance.,"English, Japanese","United Kingdom, United States",1 win & 6 nominations total,https://m.media-amazon.com/images/M/MV5BNzg3YjVmZGYtOTc5MC00MDdiLTllOTYtZWQ0ODQ1MmMyNTExXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53.0,6.3,"167,362",tt15314262,movie,,"$66,220,535",,,True,
Burnt,No,,"1,900,000",1:41,1100000,Burnt,Burnt,2015.0,R,30 Oct 2015,101 min,"Comedy, Drama",John Wells,"Steven Knight, Michael Kalesniko","Bradley Cooper, Sienna Miller, Daniel Brühl",The temperamental chef of a London restaurant demands perfection from his staff.,"English, French, Italian","United States, United Kingdom",6 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BNjEzNTk2OTEwNF5BMl5BanBnXkFtZTgwNzExMTg0NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42.0,6.6,"139,460",tt2503944,movie,,"$13,651,946",,,True,
Doubt (2008),No,,"1,900,000",1:44,1100000,Doubt,Doubt,2008.0,PG-13,25 Dec 2008,104 min,"Drama, Mystery",John Patrick Shanley,John Patrick Shanley,"Meryl Streep, Philip Seymour Hoffman, Amy Adams",A Catholic school principal questions a priest's ambiguous relationship with a troubled young student.,English,United States,Nominated for 5 Oscars. 25 wins & 97 nominations total,https://m.media-amazon.com/images/M/MV5BZWZmNDMyY2UtOWIwMC00MjE5LTkwNmUtYjRiMThkNjI0OGEwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68.0,7.5,"142,990",tt0918927,movie,,"$33,446,470",,,True,
Meninas Não Choram,No,,"1,900,000",1:46,1100000,Meninas Não Choram,Meninas Não Choram,2024.0,,30 Apr 2024,105 min,Drama,Vivianne Jundi,"Gabriel Amaral, Bryan Ruffo","Letícia Braga, Alana Cabral, Elisa Lucinda",A soccer player girl with leukemia inspires her classmates to find a bone marrow donor while maintaining her love for life and the sport.,Portuguese,Brazil,,https://m.media-amazon.com/images/M/MV5BN2ZlNjNkNjAtYzNjZC00ZmQzLTk1NmYtNWEzMGJkNzM2NGNiXkEyXkFqcGc@._V1_SX300.jpg,[],,,160,tt32050758,movie,,,,,True,
Rust Creek,No,,"1,900,000",1:48,1100000,Rust Creek,Rust Creek,2018.0,R,04 Jan 2019,108 min,"Action, Crime, Drama",Jen McGowan,"Julie Lipson, Stu Pollard","Hermione Corfield, Jay Paulson, Sean O'Bryan",An overachieving college student gets lost on her way to a job interview. A wrong turn leaves her stranded deep in the Kentucky forest.,English,United States,9 wins total,https://m.media-amazon.com/images/M/MV5BMzg0Yjk2YjYtYzVmZi00Mzg5LWE0MGYtNGVmMDMyMDIwYTM1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59.0,5.9,"14,896",tt6610158,movie,,,,,True,
Screw Mickiewicz // Piep*zyć Mickiewicza,No,,"1,900,000",1:41,1100000,Screw Mickiewicz,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!
Taking Lives,No,,"1,900,000",1:43,1100000,Taking Lives,Taking Lives,2004.0,R,19 Mar 2004,103 min,"Crime, Mystery, Thriller",D.J. Caruso,"Michael Pye, Jon Bokenkamp","Angelina Jolie, Ethan Hawke, Kiefer Sutherland","A murder spree in Montreal, with the killer embracing his victims' identities, leads to an investigation by the FBI agent Illeana Scott. Her bond with an art dealer is crucial to solving the case.","English, French",United States,4 nominations total,https://m.media-amazon.com/images/M/MV5BMTA3NDMyNzI5NTdeQTJeQWpwZ15BbWU3MDQxNDEyMzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38.0,6.2,"99,522",tt0364045,movie,,"$32,682,342",,,True,
The Crow (1994),No,,"1,900,000",1:42,1100000,The Crow,The Crow,1994.0,R,13 May 1994,102 min,"Action, Crime, Drama",Alex Proyas,"James O'Barr, David J. Schow, John Shirley","Brandon Lee, Michael Wincott, Rochelle Davis","The night before his wedding, musician Eric Draven and his fiancée are brutally murdered by members of a violent gang. On the anniversary of their death, Eric rises from the grave and assumes the mantle of the Crow, a supernatural...",English,United States,5 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BOTBiNzhkZTItZWUwZS00YTJkLTg0YTEtN2I0ZDI5ODI2MWFjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72.0,7.5,"225,348",tt0109506,movie,,"$50,693,129",,,True,
The Culprit // 진범,No,,"1,900,000",1:40,1100000,The Culprit,The Culprit,2019.0,,10 Jul 2019,100 min,"Crime, Mystery, Thriller",Jung-Wook Ko,,"Song Sae-byeok, Yoo Seon, Kim Feel","""The Culprit"" is about a man named Yeong-hoon who tracks his wife's killer and the tale of his search for justice.",Korean,South Korea,,https://m.media-amazon.com/images/M/MV5BZmQ4YjI1MzEtMGJmMy00NTE5LThkYmMtZjQ3MzQxNTdiMjA2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",,5.9,465,tt10633722,movie,,,,,True,
The Lego Batman Movie,No,,"1,900,000",1:45,1100000,The Lego Batman Movie,The Lego Batman Movie,2017.0,PG,10 Feb 2017,104 min,"Animation, Action, Adventure",Chris McKay,"Seth Grahame-Smith, Chris McKenna, Erik Sommers","Will Arnett, Michael Cera, Rosario Dawson","A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",English,"United States, Denmark, Australia",13 wins & 68 nominations total,https://m.media-amazon.com/images/M/MV5BMTcyNTEyOTY0M15BMl5BanBnXkFtZTgwOTAyNzU3MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75.0,7.3,"186,431",tt4116284,movie,,"$175,936,671",,,True,
The To Do List,No,,"1,900,000",1:44,1100000,The To Do List,The To Do List,2013.0,R,26 Jul 2013,104 min,"Comedy, Romance",Maggie Carey,Maggie Carey,"Aubrey Plaza, Johnny Simmons, Bill Hader","Feeling pressured to become more sexually experienced before she goes to college, Brandy Klark makes a list of things to accomplish before hitting campus in the fall.","English, Spanish, Sanskrit",United States,,https://m.media-amazon.com/images/M/MV5BMTcwMTIzNDk1M15BMl5BanBnXkFtZTcwNjUxMjQ2OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61.0,5.8,"43,571",tt1758795,movie,,"$3,491,669",,,True,
Twins (1988),No,,"1,900,000",1:47,1100000,Twins,Twins,1988.0,PG,09 Dec 1988,107 min,"Comedy, Crime",Ivan Reitman,"William Davies, William Osborne, Timothy Harris","Arnold Schwarzenegger, Danny DeVito, Kelly Preston","A physically perfect but innocent man goes in search of his long-lost twin brother, who turns out to be a short, womanizing, small-time crook.",English,United States,4 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMDJmMTc5YmUtN2FmNi00YzlhLWEwNTktZjI3NjlhMWE3ODM0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50.0,6.2,"143,165",tt0096320,movie,,"$111,938,388",,,True,
Tô Ryca,No,,"1,900,000",1:48,1100000,Tô Ryca,Tô Ryca! 2,2022.0,,03 Feb 2022,101 min,Comedy,Pedro Antonio,Fil Braz,"Samantha Schmütz, Katiuscia Canoro, Anderson Di Rizzi","Selminha is back. Now she is Ryca (Rich), paying top dollar for everything she needs and wants. The problem is that a poor person's happiness is brief. A namesake heir appears claiming that she is the legitimate inheritor. Selminh...",Portuguese,Brazil,,https://m.media-amazon.com/images/M/MV5BODc5MWYzYjUtYjE5Zi00ZTlmLTg4NjAtNDA1MWUzZjc5ZWIwXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_SX300.jpg,[],,,177,tt10839454,movie,,,,,True,
17 Again,No,,"1,800,000",1:42,1100000,17 Again,17 Again,2009.0,PG-13,17 Apr 2009,102 min,"Comedy, Drama, Fantasy",Burr Steers,Jason Filardi,"Zac Efron, Matthew Perry, Leslie Mann",Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.,English,United States,3 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMjA2NTI1Mzg3N15BMl5BanBnXkFtZTcwMjYwNjAzMg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48.0,6.4,"227,579",tt0974661,movie,,"$64,167,069",,,True,
A Cinderella Story,No,,"1,800,000",1:35,1100000,A Cinderella Story,A Cinderella Story,2004.0,PG,16 Jul 2004,95 min,"Comedy, Family, Romance",Mark Rosman,Leigh Dunlap,"Hilary Duff, Chad Michael Murray, Jennifer Coolidge","Routinely exploited by her wicked stepmother, the downtrodden Samantha Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance.","English, German, Czech","United States, Canada",6 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMTA1NDI0OTkwNDNeQTJeQWpwZ15BbWU3MDQ3Nzc1MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '25/100'}]",25.0,5.9,"98,256",tt0356470,movie,,"$51,438,175",,,True,
Charlie Wilson's War,No,,"1,800,000",1:42,1100000,Charlie Wilson's War,Charlie Wilson's War,2007.0,R,21 Dec 2007,102 min,"Biography, Comedy, Drama",Mike Nichols,"Aaron Sorkin, George Crile","Tom Hanks, Julia Roberts, Philip Seymour Hoffman","A drama based on Texas congressman Charlie Wilson's covert dealings in Afghanistan, where his efforts to assist rebels in their war with the Soviets have some unforeseen and long-reaching effects.","English, Dari, Russian, Urdu, Hebrew, Arabic","Germany, United States",Nominated for 1 Oscar. 5 wins & 24 nominations total,https://m.media-amazon.com/images/M/MV5BMTgwMDgwMDc4MF5BMl5BanBnXkFtZTYwOTU3MDM4._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67.0,7.0,"129,100",tt0472062,movie,,"$66,661,095",,,True,
Joy Ride (2023),No,,"1,800,000",1:35,1100000,Joy Ride,Joy Ride,2001.0,R,05 Oct 2001,97 min,"Drama, Mystery, Thriller",John Dahl,"Clay Tarver, J.J. Abrams","Steve Zahn, Paul Walker, Leelee Sobieski","Three young people on a road trip from Colorado to New Jersey talk to a trucker on their CB radio, then must escape when he turns out to be a psychopathic killer.",English,United States,5 nominations total,https://m.media-amazon.com/images/M/MV5BMGQ5ZDYzODYtYzlhNi00YTk4LWIyMTQtNTlhNzk5N2ZlNmFhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75.0,6.6,"79,821",tt0206314,movie,,"$21,974,919",,,True,
Love Child (2024),Yes,,"1,800,000",1:42,1100000,Love Child,Love Child,2014.0,,31 May 2020,75 min,"Documentary, Crime, News",Valerie Veatch,Valerie Veatch,"Carol Foox, Caitlin Mehner, Alexis Rhee","The story of a South Korean couple, who were immersed in an online game called Prius Online, while their baby named, Sarang, died of malnutrition.","English, Korean","South Korea, United States",1 nomination,https://m.media-amazon.com/images/M/MV5BMjM3MDQ0NTEyMF5BMl5BanBnXkFtZTgwMTYwODMwMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",,5.6,341,tt3469420,movie,,,,,True,
Max & Leon // La folle histoire de Max et Léon,No,,"1,800,000",1:38,1100000,Max & Leon,Max & Leon,2016.0,,01 Nov 2016,98 min,"Adventure, Comedy, War",Jonathan Barré,"Jonathan Barré, Grégoire Ludig, David Marsais","David Marsais, Grégoire Ludig, Alice Vial","Max and Léon's adventures, two childhood friends idle and party-goer, who are trying to escape the Second World War.","French, English, Arabic","France, Belgium",1 nomination,https://m.media-amazon.com/images/M/MV5BODRmZjQxNjItYTZjNC00MzM4LTkxNzEtNjQxYmJiMzY4NjM3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",,6.2,"2,722",tt5091538,movie,,$543,,,True,
"See No Evil, Hear No Evil",No,,"1,800,000",1:42,1100000,"See No Evil, Hear No Evil","See No Evil, Hear No Evil",1989.0,R,12 May 1989,103 min,"Comedy, Crime",Arthur Hiller,"Earl Barret, Arne Sultan, Marvin Worth","Richard Pryor, Gene Wilder, Joan Severance","Dave is deaf, and Wally is blind. They witness a murder, but it was Dave who was looking at her, and Wally who was listening.",English,United States,,https://m.media-amazon.com/images/M/MV5BOThiYmVhMTItZGFiNS00MDRmLTkwZWUtODcyNGZlYmMzZGRlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44.0,6.8,"61,871",tt0098282,movie,,"$46,908,987",,,True,
Suffocating Love // 愛的噩夢 // 爱的噩梦,Yes,,"1,800,000",1:42,1100000,Suffocating Love,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!
The Covenant (2006),No,,"1,800,000",1:37,1100000,The Covenant,The Covenant,2023.0,R,21 Apr 2023,123 min,"Action, Drama, Thriller",Guy Ritchie,"Guy Ritchie, Ivan Atkinson, Marn Davies","Jake Gyllenhaal, Dar Salim, Sean Sagar","During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.","English, Dari","United Kingdom, Spain, United States",1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMDY2NmI1YzAtYmE2OS00NTY4LWJjM2UtNjQzMDliYzc5MzUyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63.0,7.5,"193,780",tt4873118,movie,,"$16,938,039",,,True,
A History of Violence,No,,"1,700,000",1:36,1100000,A History of Violence,A History of Violence,2005.0,R,30 Sep 2005,96 min,"Action, Crime, Drama",David Cronenberg,"John Wagner, Vince Locke, Josh Olson","Viggo Mortensen, Maria Bello, Ed Harris","A mild-mannered man becomes a local hero through an act of violence, which sets off repercussions that will shake his family to its very core.",English,"United States, Canada, United Kingdom, Germany",Nominated for 2 Oscars. 37 wins & 84 nominations total,https://m.media-amazon.com/images/M/MV5BMTczMzIzMTQ1OV5BMl5BanBnXkFtZTYwMDQwNjk2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82.0,7.4,"267,310",tt0399146,movie,,"$31,504,633",,,True,
Blue Streak,No,,"1,700,000",1:34,1100000,Blue Streak,Blue Streak,1999.0,PG-13,17 Sep 1999,93 min,"Action, Comedy, Crime",Les Mayfield,"Michael Berry, John Blumenthal, Stephen Carpenter","Martin Lawrence, Luke Wilson, Peter Greene",A former convict poses as a cop to retrieve a diamond he stole years ago.,"English, Spanish","United States, Germany",,https://m.media-amazon.com/images/M/MV5BY2RmODQxZmQtZjAzYy00MWQxLWFmN2MtMWJiOGIxOGQxOWU4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46.0,6.4,"92,561",tt0181316,movie,,"$68,518,533",,,True,
Chicuarotes,No,,"1,700,000",1:36,1100000,Chicuarotes,Chicuarotes,2019.0,TV-14,28 Jun 2019,95 min,"Crime, Drama",Gael García Bernal,Augusto Mendoza,"Benny Emmanuel, Leidi Gutiérrez, Gabriel Carbajal",A group of teenagers in Mexico City set out to enrich their lives.,Spanish,Mexico,14 nominations,https://m.media-amazon.com/images/M/MV5BMDhmZTU2ZDYtY2RjZC00YmViLWJmNGEtYzA1NTNkNGNlNmMwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}]",,6.7,"3,516",tt4523910,movie,,,,,True,
Cult of Chucky,No,,"1,700,000",1:30,1100000,Cult of Chucky,Cult of Chucky,2017.0,R,03 Oct 2017,91 min,"Horror, Thriller",Don Mancini,Don Mancini,"Allison Dawn Doiron, Alex Vincent, Brad Dourif","Chucky returns to terrorize his human victim, Nica. Meanwhile, the killer doll has some scores to settle with his old enemies, with the help of his former wife.",English,"Canada, United States",1 nomination total,https://m.media-amazon.com/images/M/MV5BYTQ1YjZhOTYtYzljOC00ZjA4LWE2OWEtOWYwOWI4NDQyNjQ3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69.0,5.3,"32,427",tt3280262,movie,,,,,True,
Double Threat (2022),No,,"1,700,000",1:32,1100000,Double Threat,Double Threat,2022.0,,05 Aug 2022,92 min,"Action, Comedy, Thriller",Shane Stanley,CJ Walley,"Danielle C. Ryan, Matthew Lawrence, Dawn Olivieri",Pretty girl with great assets skims money from the mob. The crime boss' son takes it personally and seeks to settle the score. Meanwhile a man on a quest to scatter his brother's ashes becomes entangled in this tawdry affair.,English,United States,,https://m.media-amazon.com/images/M/MV5BM2RmNmFjZWYtOGRjNi00ZjliLWE2ZmItZTRkMGFjOTM4NDRjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",,4.7,"1,432",tt13302660,movie,,,,,True,
Firestarter (2022),No,,"1,700,000",1:34,1100000,Firestarter,Firestarter,1984.0,R,11 May 1984,114 min,"Action, Horror, Sci-Fi",Mark L. Lester,"Stephen King, Stanley Mann","Drew Barrymore, David Keith, Freddie Jones",A couple who participated in a potent medical experiment gain telepathic ability and then have a child who is pyrokinetic.,English,United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BZThjYzkzYjktNDNjZS00NGIwLWIzZTUtN2MyZDI4NWI1Mzc4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50.0,6.1,"38,341",tt0087262,movie,,"$17,080,167",,,True,
Hitman: Agent 47,No,,"1,700,000",1:36,1100000,Hitman: Agent 47,Hitman: Agent 47,2015.0,R,21 Aug 2015,96 min,"Action, Adventure, Crime",Aleksander Bach,"Skip Woods, Michael Finch","Rupert Friend, Hannah Ware, Zachary Quinto",An assassin teams up with a woman to help her find her father and uncover the mysteries of her ancestry.,English,"United States, United Kingdom, Germany, Canada, Singapore",2 nominations total,https://m.media-amazon.com/images/M/MV5BNTBiYjg1ZGYtZjQxZS00NDBkLTgyZjEtZGIzYWNmNjhiOGRjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",28.0,5.7,"99,911",tt2679042,movie,,"$22,467,450",,,True,
Kuroko's Basketball: Last Game // 劇場版 黒子のバスケ LAST GAME,No,,"1,700,000",1:31,1100000,Kuroko's Basketball: Last Game,Kuroko's Basketball: Last Game,2017.0,13+,18 Mar 2017,91 min,"Animation, Drama, Sport",Shunsuke Tada,"Tadatoshi Fujimaki, Noboru Takagi","Jon Allen, Tommy Arciniega, Brian Beacock","The Generation of Miracles, including Kagami and Kuroko, form Team Vorpal Swords to challenge Team Jabberwock to a revenge match after the latter disparaged all Japanese basketballers as monkeys.",Japanese,Japan,,https://m.media-amazon.com/images/M/MV5BMWM5M2NkNDctZmZmYy00ZmM2LWEzNDEtZWUzMjM5ZmFhOTFiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",,7.7,"3,682",tt6728390,movie,,,,,True,
